見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
発達障害児・者巡回相談,発達障害の理解や子育て・福祉制度などの相談,,,(1)4月11日・5月16日の木曜(2)4月19日・5月17日の金曜 (3)4月11日（木）(4)5月9日（木）いずれも11:00～16:00,(1)橋本保健所 (2)御坊保健所 (3)新宮保健所 (4)新宮保健所串本支所,,,,,,電話、ファックス、Eメールで住所、氏名、電話番号を希望日2週間前までに県発達障害者支援センターポラリス 電話073-413-3200　ファックス073-413-3020,,,,,,polaris@jtw.zaq.ne.jp ,
高次脳機能障害講演会,テーマ：(1)事故から11年、母として(2)高次脳機能障害って何～～見えない障害と共に共存する～,,,3月16日（土）13:30～15:30,情報交流センターBig・U（田辺市）,当事者とその家族、医療・福祉・介護・教育関係者など,80人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を3月11日までに 県子ども・女性・障害者相談センター〒641-0014 和歌山市毛見1437-218電話073-445-7314　ファックス073-446-0036県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/040402/gaiyo.html,,e0404025@pref.wakayama.lg.jp ,
県民のための公開講座（眼科）,テーマ：もっとしりたい緑内障,,,3月16日（土）14:00～16:00,県立医大講堂（和歌山市）,,500人（先着順）,,,,県立医大病院眼科電話073-441-0649,,,,http://www.wakayama-med.ac.jp/index.html,,,
最新の医学・医療カンファランス,テーマ：(1)障がい者スポーツと再生医療におけるリハビリテーション医学(2)自筆証書遺言に関する法改正について,,,3月14日（木）14:00～16:00,県立医大図書館棟（和歌山市）,,100人（先着順）,,,県立医大生涯研修センター電話073-441-0789,,,,,http://www.wakayama-med.ac.jp/index.html,,,
5月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン・総務経理事務科(2)ＣＡＤ・ＮＣ技術科(3)農業科(4)パソコン基礎科(5)介護初級科(6)ＯＡ事務科（初級）（障害者対象）,,,(1)(2)和歌山市(3)御坊市・かつらぎ町(4)海南市・串本町・新宮市(5)湯浅町・御坊市(6)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/home.html,,,
いのちの電話相談員養成講座,自殺・孤立予防を目的とした電話相談員を養成,,,5月11日～9月7日の隔週土曜13:30～16:30,和歌山市中央コミュニティセンター,原則23～70歳の方,30人（先着順）,"28,000円（申込金・受講料）",,,郵送、電話、ファックス、Eメール、インターネットで所定の申込書（ウェブサイトで配布）を5月8日までに和歌山いのちの電話協会〒640-8137和歌山市吹上5-2-15電話073-425-3261　ファックス073-425-3267,,,,https://www.w-inochi.com/,,w-inochi@agate.plala.or.jp ,
ズンバゴールド教室,初心者から誰でも楽しく参加できるラテン系の音楽とダンスを融合させた、ダンスフィットネスエクササイズ,,,4月3・10・17・24日、5月8・15・22・29日、6月12・19日いずれも水曜13:30～14:30（全10回）,県立橋本体育館(橋本市),18歳以上,25人（先着順）,"5,140円",,,持参で所定の申込書（申込先、ウェブサイトで配布）と参加費を3月13日(13:00)から会場 橋本市北馬場455 電話0736-32-9660,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
わかやま就職フェアin大阪・東京,Ｕ・Ｉターン就職希望者を対象とした面談方式による合同企業説明会,,,(1)3月16日（土）13:00～16:00(2)3月20日（水）13:30～16:00,(1)大阪産業創造館（大阪市）(2)東京新卒応援ハローワーク（東京都新宿区）,一般求職者、2019年3月および2020年3月卒業予定の大学院、大学、高専、短大、専門学校生,,,,県庁労働政策課,,,,,http://www.wakayama-uiturn.jp/,,,
いきいきシニアリーダーカレッジ受講生,高齢者の社会参加活動を促進し、地域活動をリードする人材を養成,,,5月～2020年2月（月1・2回）,(1)和歌山市(2)田辺市(3)橋本市,おおむね60歳以上の方など,(1)70人(2)70人(3)100人（抽選）,"(1)2,000円(2)(3)1,000円（受講料）",,,申込方法など詳しくは各問合先へ(1)県社会福祉協議会　電話073-435-5214(2)田辺市社会福祉協議会　電話0739-24-8329(3)橋本市社会福祉協議会　電話0736-33-0294,,,,http://www.wakayamakenshakyo.or.jp/,,,
わかやまおもてなし研修,おもてなし・接遇に関する基礎的な講義・実技の研修,,,(1)3月14日（木）(2)15日(金)いずれも13:30～16:00,(1)県民文化会館（和歌山市）(2)西牟婁振興局（田辺市),,各80人（先着順）,,,,ファックスで所定の申込書（申込先で配布）を3月11日までに県庁観光振興課ファックス073-432-8312,,,,,,,
ひだかさんぽウォーキング,日高地方の桜の名所を巡る,,,3月24日（日）集合9:15（解散12:15）コース：JRきのくに線御坊駅→亀山山頂→鳳生寺→愛徳山王子→道成寺（御坊市、日高川町）,,,50人（先着順）,500円（保険料など）,,,ファックスで所定の申込書（申込先、ウェブサイトで配布）を3月19日までに日高広域観光振興協議会（日高振興局企画産業課内）電話0738-24-2911　ファックス0738-24-3312※中学生以下は保護者同伴県ウェブサイトでも掲載,,,,http://www.pref.wakayama.lg.jp/prefg/130500/index.htm,,,
「不動産鑑定評価の日」無料相談会,価格、賃料、有効活用など不動産全般,,,4月6日（土）10:00～16:00,県不動産鑑定士協会（和歌山市） ,,,,,,電話で住所、氏名、電話番号を会場 電話073-402-2435,,,,http://rea-wakayama.jp/,,,
